jou,丈上乗冗剰城場壌嬢定常情成条浄状畳盛縄蒸譲醸錠静
joku,辱
jin,人仁刃尋尽甚神臣迅陣
su,主子守数素須
sui,出吹垂帥推水炊睡穂粋衰遂酔
suu,崇数枢
sun,寸
zu,事図豆頭
zui,随髄
se,世施
sei,世井制勢声姓婿征性情成政整斉星晴正歳清牲生盛省精聖製西誓誠請逝青静
seki,夕寂席惜斥昔析石積籍績責赤跡隻
sechi,節
setsu,切折拙接摂窃節設説雪
sen,仙先千占宣専川戦扇旋染栓泉洗浅潜線繊羨船薦践遷選銭鮮
ze,是
zei,税説
zetsu,絶舌
zen,全前善漸然禅繕
so,塑想措疎礎祖租粗素組訴阻
sou,争倉僧創双喪壮奏宗層巣想挿捜掃操早曹曽桑槽燥相窓総草荘葬藻装贈走送遭霜騒
soku,促側則即息束測足速
sotsu,卒率
son,存孫尊損村
zo,曽
zou,像増憎臓蔵象贈造雑
zoku,俗属族続賊
zon,存
ta,他多太
tai,代体台大太対帯待怠態替泰滞耐胎袋貸退逮隊
taku,卓宅択拓沢濯託
tatsu,達
tan,丹単嘆壇担探旦淡炭短端胆誕鍛
da,堕妥惰打蛇駄
dai,代内台大弟第題
daku,濁諾
datsu,奪脱
dan,団壇弾断旦暖段男談
chi,値地恥池治痴知稚置致遅
chiku,畜竹築蓄逐
chitsu,秩窒
cha,茶
chaku,嫡着
chuu,中仲宙忠抽昼柱沖注虫衷鋳駐
cho,緒著貯
chou,丁兆帳庁弔張彫徴懲挑朝潮澄町眺聴腸調超跳重釣長頂鳥暢
choku,勅直
chin,朕沈珍賃鎮陳
tsu,通都
tsui,墜対追
tsuu,痛通
tei,丁亭低体停偵呈堤定帝底庭廷弟抵提程締艇訂貞逓邸
teki,摘敵滴的笛適
tetsu,哲徹撤迭鉄
ten,典天展店殿添点転
dei,泥
den,伝殿田電
to,吐図土塗度徒斗渡登賭途都
tou,倒党冬凍刀到唐塔島当悼投搭東桃棟湯灯痘登盗稲等筒答糖統藤討謄豆踏逃透道闘陶頭騰
toku,匿得徳特督篤読
totsu,凸突
ton,団屯豚
do,努土奴度怒
dou,働動同堂導洞瞳童胴道銅
doku,毒独読
don,曇鈍
na,南奈
nai,内
natsu,納
nan,南男軟難
ni,二仁児尼弐
niku,肉
nichi,日
nyaku,若
nyuu,乳入柔
nyo,女如
nyou,尿
nin,人任妊忍認
nei,寧
netsu,熱
nen,年念然燃粘
nou,悩濃納能脳農
ha,把波派破覇
hai,俳廃拝排敗杯肺背輩配
hyaku,伯百
haku,博拍泊白舶薄迫
hyou,俵兵拍標氷漂票表評
hachi,八鉢
hatsu,法
hatsu,発鉢髪
han,伴凡判半反坂帆搬板煩版犯班畔範繁般藩販阪頒飯
ba,婆馬
bai,倍培売媒梅買賠陪
baku,博幕暴漠爆縛麦
bachi,罰
batsu,伐抜末罰閥
ban,万伴判晩板番盤蛮
hi,卑否妃彼悲扉批披比泌疲皮碑秘罷肥被費避非飛
hitsu,匹必泌筆
hin,品浜貧賓頻
bi,備尾微美鼻
byaku,白
byou,平描猫病秒苗
bin,便敏瓶貧
fu,不付夫婦富布府怖扶敷普浮父符腐膚譜負賦赴附風
fuu,夫富封風
fuku,伏副幅復服福腹複覆
futsu,払沸
fun,分噴墳奮憤粉紛雰
bu,不侮奉武歩無舞部
butsu,仏物
bun,分文聞
hei,丙並併兵塀幣平弊柄病閉陛
heki,壁癖
hen,偏変片編辺返遍
bei,米
betsu,別
ben,便勉弁
ho,保捕歩舗補
hou,俸倣包報奉宝封峰崩抱放方法泡砲縫胞芳褒訪豊邦飽
hoku,北
hotsu,発
hon,反奔本翻
bo,募墓慕暮模母簿
bou,乏亡傍冒剖坊妄妨帽忘忙房暴望某棒紡肪膨謀貿防
boku,僕墨撲木朴牧目睦
botsu,坊没
bon,凡煩盆
ma,摩磨魔麻
mai,埋妹枚毎米幕膜抹末万慢満漫
mi,味未魅
mitsu,密蜜
myaku,脈
myou,名命妙明苗
min,民眠
mu,務夢武無矛謀霧
mei,名命明盟迷銘鳴滅免綿面
mo,模茂
mou,亡妄望毛猛盲網耗
moku,木目黙
motsu,物
mon,問文紋聞門
ya,夜野
yaku,厄役疫益約薬訳躍
yu,愉油由癒諭輸遊
yui,唯遺
yuu,優勇友右幽悠憂有猶由融裕誘遊郵雄
yo,与予余誉預
you,容幼庸揚揺擁曜様洋溶用窯羊腰葉要謡踊陽養
yoku,抑欲浴翌翼
ra,羅裸
rai,来礼雷頼
raku,楽絡落酪
ran,乱卵欄濫覧
ri,利吏履理痢裏里離
riki,力
riku,陸
richi,律
ritsu,律率立
ryaku,略
ryuu,柳流留硫立竜粒隆
ryo,慮旅虜
ryou,両了僚寮料涼漁猟療糧良量陵霊領
ryoku,力緑
rin,倫厘林臨輪鈴隣
ru,瑠
rui,塁涙累類
rei,令例冷励戻礼鈴隷零霊麗齢
reki,暦歴
retsu,列劣烈裂
ren,廉恋練連錬
ro,呂炉路露
rou,労廊朗楼浪漏糧老郎露
roku,六緑録
ron,論
wa,和話
wai,賄
waku,惑
wan,湾腕
